#  event_id.net.sta.loc.ch          offset_km    weights               P_pick  bw_len    S_pick  sw_len    rw_static  lw_static
   ak2025xjbvhj.AV.STLK..BH                  58           1   1   1   1   1     7.28    0.0        12.94    0.0        0.         0.
   ak2025xjbvhj.AK.SKN..BH                   61           1   1   1   1   1     7.70    0.0        13.68    0.0        0.         0.
   ak2025xjbvhj.AV.SPBL..BH                  64           1   1   1   1   1     8.08    0.0        14.37    0.0        0.         0.
   ak2025xjbvhj.AV.SPCG..BH                  74           1   1   1   1   1     9.33    0.0        16.59    0.0        0.         0.
   ak2025xjbvhj.AK.RC01..BH                  76           1   1   1   1   1     9.52    0.0        16.93    0.0        0.         0.
   ak2025xjbvhj.AV.SPU..BH                   82           1   1   1   1   1     10.27    0.0        18.25    0.0        0.         0.
   ak2025xjbvhj.AV.SPCP..BH                  82           1   1   1   1   1     10.29    0.0        18.29    0.0        0.         0.
   ak2025xjbvhj.AV.SPCN..BH                  85           1   1   1   1   1     10.72    0.0        19.05    0.0        0.         0.
   ak2025xjbvhj.AT.PMR..BH                   86           1   1   1   1   1     10.76    0.0        19.13    0.0        0.         0.
   ak2025xjbvhj.AV.N20K..BH                  88           1   1   1   1   1     11.02    0.0        19.59    0.0        0.         0.
   ak2025xjbvhj.AK.CAPN..BH                  91           1   1   1   1   1     11.48    0.0        20.42    0.0        0.         0.
   ak2025xjbvhj.AV.SPBG..BH                  93           1   1   1   1   1     11.65    0.0        20.72    0.0        0.         0.
   ak2025xjbvhj.AV.SPCL..BH                  94           1   1   1   1   1     11.83    0.0        21.03    0.0        0.         0.
   ak2025xjbvhj.AK.CUT..BH                   96           1   1   1   1   1     12.08    0.0        21.48    0.0        0.         0.
   ak2025xjbvhj.AK.GHO..BH                   99           1   1   1   1   1     12.40    0.0        22.05    0.0        0.         0.
   ak2025xjbvhj.AV.SPWE..BH                 102           1   1   1   1   1     12.75    0.0        22.67    0.0        0.         0.
   ak2025xjbvhj.AV.SPNN..BH                 106           1   1   1   1   1     13.30    0.0        23.65    0.0        0.         0.
   ak2025xjbvhj.AK.L22K..BH                 106           1   1   1   1   1     13.32    0.0        23.68    0.0        0.         0.
   ak2025xjbvhj.AK.SLK..BH                  121           1   1   1   1   1     15.16    0.0        26.95    0.0        0.         0.
   ak2025xjbvhj.AK.KNK..BH                  123           1   1   1   1   1     15.42    0.0        27.41    0.0        0.         0.
   ak2025xjbvhj.AK.SAW..BH                  130           1   1   1   1   1     16.34    0.0        29.06    0.0        0.         0.
   ak2025xjbvhj.AV.RDT..BH                  142           1   1   1   1   1     17.83    0.0        31.69    0.0        0.         0.
   ak2025xjbvhj.AK.BAT..BH                  145           1   1   1   1   1     18.23    0.0        32.40    0.0        0.         0.
   ak2025xjbvhj.AK.BAE..BH                  148           1   1   1   1   1     18.60    0.0        33.07    0.0        0.         0.
   ak2025xjbvhj.AV.RDDF..BH                 151           1   1   1   1   1     18.88    0.0        33.57    0.0        0.         0.
   ak2025xjbvhj.AK.PWL..BH                  152           1   1   1   1   1     19.02    0.0        33.81    0.0        0.         0.
   ak2025xjbvhj.AV.RDJH..BH                 155           1   1   1   1   1     19.44    0.0        34.57    0.0        0.         0.
   ak2025xjbvhj.AV.REF..BH                  159           1   1   1   1   1     19.97    0.0        35.51    0.0        0.         0.
   ak2025xjbvhj.AK.M23K..BH                 162           1   1   1   1   1     20.26    0.0        36.01    0.0        0.         0.
   ak2025xjbvhj.AV.NCT..BH                  162           1   1   1   1   1     20.32    0.0        36.13    0.0        0.         0.
   ak2025xjbvhj.AV.RDSO..BH                 164           1   1   1   1   1     20.58    0.0        36.58    0.0        0.         0.
   ak2025xjbvhj.AV.RDWB..BH                 165           1   1   1   1   1     20.67    0.0        36.75    0.0        0.         0.
   ak2025xjbvhj.AV.RED..BH                  168           1   1   1   1   1     21.07    0.0        37.45    0.0        0.         0.
   ak2025xjbvhj.AK.WAT7..BH                 172           1   1   1   1   1     21.52    0.0        38.26    0.0        0.         0.
   ak2025xjbvhj.AK.SWD..BH                  177           1   1   1   1   1     22.23    0.0        39.53    0.0        0.         0.
   ak2025xjbvhj.AK.WAT1..BH                 181           1   1   1   1   1     22.65    0.0        40.26    0.0        0.         0.
   ak2025xjbvhj.AK.SCM..BH                  183           1   1   1   1   1     22.92    0.0        40.75    0.0        0.         0.
   ak2025xjbvhj.AK.WAT6..BH                 193           1   1   1   1   1     24.19    0.0        43.01    0.0        0.         0.
   ak2025xjbvhj.AK.BRLK..BH                 202           1   1   1   1   1     25.35    0.0        45.07    0.0        0.         0.
   ak2025xjbvhj.AK.BRSE..BH                 203           1   1   1   1   1     25.46    0.0        45.26    0.0        0.         0.
   ak2025xjbvhj.AK.CAST..BH                 217           1   1   1   1   1     27.16    0.0        48.28    0.0        0.         0.
   ak2025xjbvhj.AK.L19K..BH                 226           1   1   1   1   1     28.30    0.0        50.30    0.0        0.         0.
   ak2025xjbvhj.AK.RND..BH                  226           1   1   1   1   1     28.33    0.0        50.37    0.0        0.         0.
   ak2025xjbvhj.AK.DHY..BH                  242           1   1   1   1   1     30.30    0.0        53.86    0.0        0.         0.
   ak2025xjbvhj.AK.FID..BH                  242           1   1   1   1   1     30.30    0.0        53.87    0.0        0.         0.
   ak2025xjbvhj.AK.Q19K..BH                 334           0   0   1   1   1     41.87    0.0        74.44    0.0        0.         0.
   ak2025xjbvhj.AK.J20K..BH                 337           0   0   1   1   1     42.25    0.0        75.11    0.0        0.         0.
   ak2025xjbvhj.AK.I23K..BH                 404           0   0   1   1   1     50.61    0.0        89.97    0.0        0.         0.
   ak2025xjbvhj.AK.L26K..BH                 416           0   0   1   1   1     52.08    0.0        92.59    0.0        0.         0.
   ak2025xjbvhj.AK.GCSA..BH                 469           0   0   1   1   1     58.68    0.0        104.32    0.0        0.         0.
